zone,fam,macro,producto,rho,abs_rho,n
nacional,casa,imacec_var,plazo_yoy,-0.3296786799826314,0.3296786799826314,48
nacional,casa,imacec_var,descuento_yoy,-0.004776378636561007,0.004776378636561007,48
nacional,casa,imacec_var,sup_yoy,-0.05807642205818497,0.05807642205818497,48
nacional,casa,d_tasa_hipo,precio_yoy,0.2442466348241424,0.2442466348241424,48
nacional,casa,d_tasa_hipo,velocidad_yoy,-0.427594442032132,0.427594442032132,48
nacional,casa,d_tasa_hipo,plazo_yoy,0.4634172818063396,0.4634172818063396,48
nacional,casa,d_tasa_hipo,descuento_yoy,-0.06534954407294832,0.06534954407294832,48
nacional,casa,d_tasa_hipo,sup_yoy,0.22633521493703865,0.22633521493703865,48
nacional,casa,d_desempleo,precio_yoy,-0.11086378604904626,0.11086378604904626,48
nacional,casa,d_desempleo,velocidad_yoy,-0.03610402434995875,0.03610402434995875,48
nacional,casa,d_desempleo,plazo_yoy,0.06194690493729763,0.06194690493729763,48
nacional,casa,d_desempleo,descuento_yoy,0.19724198565924828,0.19724198565924828,48
nacional,casa,d_desempleo,sup_yoy,-0.06943916863698832,0.06943916863698832,48
nacional,casa,ipv_general_yoy,precio_yoy,0.05543189302452313,0.05543189302452313,48
nacional,casa,ipv_general_yoy,velocidad_yoy,0.2671697801896947,0.2671697801896947,48
nacional,casa,ipv_general_yoy,plazo_yoy,-0.35474239865057206,0.35474239865057206,48
nacional,casa,ipv_general_yoy,descuento_yoy,0.23600630654025662,0.23600630654025662,48
nacional,casa,ipv_general_yoy,sup_yoy,-0.10771486362453857,0.10771486362453857,48
nacional,casa,icoi_yoy,precio_yoy,0.5413462068739363,0.5413462068739363,48
nacional,casa,icoi_yoy,velocidad_yoy,0.0435209492009998,0.0435209492009998,48
nacional,casa,icoi_yoy,plazo_yoy,-0.04569699666104979,0.04569699666104979,48
nacional,casa,icoi_yoy,descuento_yoy,-0.48966507969774903,0.48966507969774903,48
nacional,casa,icoi_yoy,sup_yoy,-0.10700713384795828,0.10700713384795828,48
nacional,townhouse,imacec_var,precio_yoy,0.5238866396761134,0.5238866396761134,39
nacional,townhouse,imacec_var,velocidad_yoy,-0.34230769230769237,0.34230769230769237,39
nacional,townhouse,imacec_var,plazo_yoy,-0.2431174089068826,0.2431174089068826,39
nacional,townhouse,imacec_var,descuento_yoy,0.10177216494435783,0.10177216494435783,39
nacional,townhouse,imacec_var,sup_yoy,0.36214574898785423,0.36214574898785423,39
nacional,townhouse,d_tasa_hipo,precio_yoy,0.18319838056680163,0.18319838056680163,39
nacional,townhouse,d_tasa_hipo,velocidad_yoy,-0.45526315789473687,0.45526315789473687,39
nacional,townhouse,d_tasa_hipo,plazo_yoy,0.3742914979757085,0.3742914979757085,39
nacional,townhouse,d_tasa_hipo,descuento_yoy,-0.3164557367672818,0.3164557367672818,39
nacional,townhouse,d_tasa_hipo,sup_yoy,0.3072874493927126,0.3072874493927126,39
nacional,townhouse,d_desempleo,precio_yoy,-0.551877723244444,0.551877723244444,39
nacional,townhouse,d_desempleo,velocidad_yoy,0.3330296605785438,0.3330296605785438,39
nacional,townhouse,d_desempleo,plazo_yoy,-0.06751695550330963,0.06751695550330963,39
nacional,townhouse,d_desempleo,descuento_yoy,0.08922423255927142,0.08922423255927142,39
nacional,townhouse,d_desempleo,sup_yoy,-0.4333434580354851,0.4333434580354851,39
nacional,townhouse,ipv_general_yoy,precio_yoy,-0.0822278586416105,0.0822278586416105,39
nacional,townhouse,ipv_general_yoy,velocidad_yoy,0.20000002563692212,0.20000002563692212,39
nacional,townhouse,ipv_general_yoy,plazo_yoy,-0.43513929628448317,0.43513929628448317,39
nacional,townhouse,ipv_general_yoy,descuento_yoy,0.27487335359675785,0.27487335359675785,39
nacional,townhouse,ipv_general_yoy,sup_yoy,-0.08475950453574875,0.08475950453574875,39
nacional,townhouse,icoi_yoy,precio_yoy,0.2589980910650607,0.2589980910650607,39
nacional,townhouse,icoi_yoy,velocidad_yoy,-0.05092544883186633,0.05092544883186633,39
nacional,townhouse,icoi_yoy,plazo_yoy,0.03628819407779696,0.03628819407779696,39
nacional,townhouse,icoi_yoy,descuento_yoy,-0.025119673410982365,0.025119673410982365,39
nacional,townhouse,icoi_yoy,sup_yoy,0.2051248617618887,0.2051248617618887,39
